permalink,category_list,country_code,funding_round_type,raised_amount_usd
3play-media,Software,USA,venture,511601.0
3point5-com,Curated Web,USA,venture,1500000.0
3power-energy-group,Clean Technology,GBR,private_equity,50000000.0
3rd-planet,Curated Web,CHN,venture,1000000.0
3rd-planet,Curated Web,CHN,angel,500000.0
3rdkind,Game,JPN,venture,1000000.0
3roam,Mobile,FRA,venture,1394250.0
3scale,Developer APIs,USA,seed,800000.0
3scale,Developer APIs,USA,private_equity,4200000.0
3scan,Biotechnology,USA,venture,6673012.0
3scan,Biotechnology,USA,seed,40000.0
3seventy,App Marketing,USA,seed,2000000.0
3si-security-systems,Physical Security,USA,venture,13000000.0
3sp-group,Manufacturing,FRA,venture,13780000.0
3sun,Clean Technology,GBR,venture,15152514.0
3ten8,Software,USA,seed,1670000.0
3tier-environmental-forecast-group,Clean Technology,USA,venture,2000000.0
3tier-environmental-forecast-group,Clean Technology,USA,venture,3000000.0
3tier-environmental-forecast-group,Clean Technology,USA,venture,10000000.0
3touch,Software,IRL,venture,272000.0
3v-transaction-services,Coupons,IRL,venture,25458897.0
3v-transaction-services,Coupons,IRL,venture,25500000.0
3vr-security,Security,USA,venture,8000000.0
3vr-security,Security,USA,venture,17000000.0
3vr-security,Security,USA,venture,5000000.0
3vr-security,Security,USA,venture,12000000.0
3vr-security,Security,USA,venture,10000000.0
3vr-security,Security,USA,venture,9000000.0
3ware,Databases,USA,venture,26000000.0
3x-systems,Flash Storage,USA,venture,1693925.0
3x-systems,Flash Storage,USA,venture,1700000.0
3yy-game-platform,Games,CHN,angel,163934.0
4-33-creative-lab,Design,KOR,private_equity,100000000.0
4-tell,E-Commerce,USA,seed,25000.0
4-tell,E-Commerce,USA,venture,959979.0
4-tell,E-Commerce,USA,venture,1000000.0
40-partners-ltd,Creative Industries,GBR,seed,228188.0
405labs,Machine Learning,USA,venture,81000.0
40billion-com,Crowdfunding,USA,seed,620000.0
40billion-com,Crowdfunding,USA,seed,50000.0
40billion-com,Crowdfunding,USA,seed,380000.0
410-labs,Messaging,USA,venture,750000.0
41st-parameter,Security,USA,venture,11200000.0
41st-parameter,Security,USA,venture,10070000.0
41st-parameter,Security,USA,venture,13000000.0
41st-parameter,Security,USA,venture,3794570.0
42,Enterprise Software,USA,seed,0.0
422-group,Software,USA,venture,1000000.0
42floors,Commercial Real Estate,USA,seed,400000.0
42floors,Commercial Real Estate,USA,venture,12000000.0
42floors,Commercial Real Estate,USA,venture,5000000.0
42networks,Web Hosting,SWE,venture,2258720.0
44lab5,Creative,USA,seed,450000.0
46elks,Internet,SWE,seed,360540.0
46elks,Internet,SWE,seed,125301.0
480-biomedical,Biotechnology,USA,venture,15000000.0
480-biomedical,Biotechnology,USA,venture,17956999.0
480-biomedical,Biotechnology,USA,venture,10500000.0
480-biomedical,Biotechnology,USA,venture,1200000.0
4cable-tv,Clean Technology,USA,seed,20900.0
4d-molecular-therapeutics,Biotechnology,USA,venture,6999995.0
4deep,Biotechnology,CAN,seed,500000.0
4dk-technologies,Mobile,USA,private_equity,3378975.0
4front-partners,Anything Capital Intensive,USA,venture,22000.0
4home,Automotive,USA,venture,525000.0
4home,Automotive,USA,venture,270000.0
4home,Automotive,USA,venture,1000000.0
4home,Automotive,USA,venture,2850000.0
4home,Automotive,USA,venture,500000.0
4home,Automotive,USA,venture,4271354.0
4info,Ad Targeting,USA,venture,20000000.0
4info,Ad Targeting,USA,venture,10000000.0
4info,Ad Targeting,USA,venture,4288000.0
4info,Ad Targeting,USA,venture,8000000.0
4info,Ad Targeting,USA,venture,8000000.0
4info,Ad Targeting,USA,venture,14000000.0
4info,Ad Targeting,USA,venture,250000000.0
4meee,E-Commerce,JPN,seed,500000.0
4moms,Hardware + Software,USA,venture,40000000.0
4moms,Hardware + Software,USA,venture,20000000.0
4psa,Cloud Computing,ROM,angel,1500000.0
4s91-com,Mobile,CHN,venture,10000000.0
4sc,Human Resources,DEU,venture,10511317.0
4soils,Apps,USA,seed,50000.0
4tech,Biotechnology,USA,private_equity,7000000.0
4th-aspect,Advertising,GBR,seed,277755.0
4th-aspect,Advertising,GBR,seed,606100.0
4th-aspect,Advertising,GBR,seed,159412.0
4th-aspect,Advertising,GBR,seed,77811.0
4th-office,Office Space,GBR,venture,3607956.0
5-examples,Software,USA,venture,250000.0
5-million-shoppers,Internet,USA,seed,15000.0
5-minutes,Games,CHN,venture,3500000.0
5-oclock-records,Software,USA,angel,440000.0
5-oclock-records,Software,USA,seed,300000.0
500-luchadores,Online Shopping,USA,venture,2013000.0
500friends,E-Commerce,USA,seed,1400000.0
500friends,E-Commerce,USA,venture,4500000.0
500friends,E-Commerce,USA,venture,5000000.0
500px,Apps,CAN,venture,8800000.0
500px,Apps,CAN,venture,13000000.0
500px,Apps,CAN,venture,525000.0
500shops,E-Commerce,NGA,seed,5000.0
51-com,Software,CHN,venture,6000000.0
51-com,Software,CHN,venture,15000000.0
51-com,Software,CHN,venture,6000000.0
5151tuan,Real Estate,CHN,angel,2928257.0
5173-com,E-Commerce,CHN,venture,6300000.0
5173-com,E-Commerce,CHN,venture,3000000.0
51credit-com,Finance,CHN,venture,10000000.0
51edj,E-Commerce,CHN,venture,1000000.0
51hejia-com,Curated Web,CHN,venture,10000000.0
51talk,Education,CHN,venture,55000000.0
51talk,Education,CHN,venture,10000000.0
51talk,Education,CHN,venture,100000.0
51wan,Games,CHN,venture,1500000.0
51zhangdan,Internet,CHN,venture,50000000.0
51zhangdan,Internet,CHN,venture,15000000.0
5211game,Games,CHN,venture,1000000.0
52masterworks,Art,DEU,seed,11176.0
52masterworks,Art,DEU,seed,206765.0
52masterworks,Art,DEU,seed,16764.0
55tuan-com,E-Commerce,CHN,venture,200000000.0
56-com,Photography,CHN,venture,20000000.0
56-com,Photography,CHN,venture,10000000.0
58-com,Curated Web,CHN,venture,5000000.0
58-com,Curated Web,CHN,venture,5780000.0
58-com,Curated Web,CHN,venture,15000000.0
58-com,Curated Web,CHN,venture,55000000.0
58-com,Curated Web,CHN,venture,60000000.0
591wed,Curated Web,CHN,venture,10000000.0
5app,Mobile,GBR,seed,5100000.0
5gig,Music,ESP,angel,368750.0
5i-sciences,Healthcare Services,USA,private_equity,3000000.0
5min,Education,USA,venture,5000000.0
5min,Education,USA,angel,300000.0
5min,Education,USA,venture,7500000.0
5minutes,Art,GBR,seed,15873.0
5o9,Software,USA,seed,50000.0
5rocks,Games,KOR,seed,2310577.0
5rocks,Games,KOR,seed,1677116.0
5th-avenue-media,Advertising,USA,seed,250000.0
5th-finger,Mobile,USA,venture,7000000.0
5th-planet-games,Games,USA,venture,3000000.0
5to1,Advertising,USA,venture,2492516.0
5to1,Advertising,USA,venture,6500000.0
5to1,Advertising,USA,venture,6309744.0
60mo,Accounting,GBR,seed,200000.0
60mo,Accounting,GBR,venture,1000000.0
60mo,Accounting,GBR,seed,100000.0
64-pixels,Browser Extensions,USA,angel,100000.0
640-labs,Software,USA,seed,2700000.0
6connect,Web Hosting,USA,venture,2000000.0
6connect,Web Hosting,USA,venture,1019139.0
6fusion,Enterprise Software,USA,venture,10918865.0
6fusion,Enterprise Software,USA,venture,3000000.0
6fusion,Enterprise Software,USA,venture,7000000.0
6n-silicon,Concentrated Solar Power,CAN,venture,5714286.0
6renyou-com,Mobile,CHN,venture,1000000.0
6rooms,Photography,CHN,venture,15000000.0
6rooms,Photography,CHN,venture,4000000.0
6rooms,Photography,CHN,venture,11500000.0
6sense,B2B,USA,venture,20000000.0
6sense,B2B,USA,venture,12000000.0
6sensor-labs,Health and Wellness,USA,seed,4000000.0
6sensor-labs,Health and Wellness,USA,venture,4000000.0
6sicuro-it,Finance,ITA,venture,3134880.0
6th-sense-analytics,Software,USA,venture,1700000.0
6th-sense-analytics,Software,USA,venture,5000000.0
6th-wave-innovations-corporation,Nanotechnology,USA,venture,2569720.0
6tribes,Social Network Media,GBR,seed,700832.0
6tribes,Social Network Media,GBR,seed,380000.0
6tribes,Social Network Media,GBR,seed,475855.0
6wunderkinder,Android,DEU,venture,19000000.0
6wunderkinder,Android,DEU,venture,657750.0
6wunderkinder,Android,DEU,venture,4200000.0
7-billion-people,Analytics,USA,venture,2368902.0
7-billion-people,Analytics,USA,seed,3800000.0
7-bites,Enterprise Software,JPN,seed,295000.0
7-elements-studios,Development Platforms,ISR,seed,150000.0
7-oaks-pharmaceutical,Biotechnology,USA,venture,1613014.0
7-star-entertainment,Games,USA,venture,10000000.0
700bike,Bicycles,CHN,venture,15000000.0
71lbs,Analytics,USA,seed,75000.0
71lbs,Analytics,USA,seed,300000.0
71lbs,Analytics,USA,angel,2000000.0
71lbs,Analytics,USA,seed,75000.0
720,Analytics,FIN,seed,190035.0
72798-com,E-Commerce,CHN,venture,3107198.0
72lux,Advertising,USA,seed,1500000.0
77-pieces,Curated Web,NZL,seed,650000.0
777-davis,Technology,USA,seed,2875000.0
7ac-technologies,Clean Technology,USA,venture,2400000.0
7ac-technologies,Clean Technology,USA,venture,4926000.0
7ac-technologies,Clean Technology,USA,venture,2500000.0
7ac-technologies,Clean Technology,USA,venture,4500000.0
7digital,Content Creators,GBR,venture,8468328.0
7digital,Content Creators,GBR,venture,10000000.0
7k7k-com,Games,CHN,angel,1136548.0
7mb-technologies,Software,USA,venture,110700.0
7mb-technologies,Software,USA,venture,350075.0
7mb-technologies,Software,USA,venture,556695.0
7park-data,Analytics,USA,venture,3000000.0
7signal-solutions,Web Hosting,USA,venture,4000000.0
7signal-solutions,Web Hosting,USA,venture,2000000.0
7signal-solutions,Web Hosting,USA,venture,250000.0
7signal-solutions,Web Hosting,USA,venture,3600000.0
7summits,Brand Marketing,USA,seed,600000.0
7write,Publishing,NLD,seed,250000.0
7write,Publishing,NLD,seed,19260.0
8-50-sports,Apps,GBR,seed,500000.0
8-inc,Design,USA,seed,1400000.0
8-inc,Design,USA,seed,3100000.0
8-securities-limited,Finance Technology,HKG,venture,9000000.0
8-securities-limited,Finance Technology,HKG,venture,8000000.0
80-20-solutions,Advertising,CAN,venture,2100000.0
80-degrees-west,Home Decor,USA,seed,25000.0
800-com,Services,USA,venture,20000000.0
800-com,Services,USA,venture,57000000.0
800razors,E-Commerce,USA,venture,100000.0
8020select,Crowdsourcing,USA,seed,25000.0
80th-street-residence-facc-fund-i,Health and Wellness,USA,venture,5100000.0
818-sports-entertainment,Digital Entertainment,USA,venture,25000000.0
818-sports-entertainment,Digital Entertainment,USA,seed,2000000.0
8218-west-third,Beauty,USA,venture,400000.0
8bit-2,Advertising,GBR,seed,110000.0
8bit-2,Advertising,GBR,seed,30000.0
8dworld,Games,USA,venture,5250000.0
8dworld,Games,USA,venture,7000000.0
8fit-fitness-for-the-rest-of-us,Exercise,USA,seed,30000.0
8fit-fitness-for-the-rest-of-us,Exercise,USA,seed,200000.0
8fit-fitness-for-the-rest-of-us,Exercise,USA,venture,2500000.0
8hands,Messaging,ISR,seed,1000000.0
8hands,Messaging,ISR,seed,500000.0
8minutenergy-renewables,Clean Technology,USA,venture,30000000.0
8packs,Sports,SGP,seed,39473.0
8tracks,Music,USA,seed,1500000.0
8tracks,Music,USA,venture,1279980.0
8trip,Travel,CHN,venture,24600000.0
9-plus-studio,Consulting,USA,angel,2000000.0
908-devices,Manufacturing,USA,venture,7000000.0
908-devices,Manufacturing,USA,venture,11600000.0
908-devices,Manufacturing,USA,venture,8100000.0
90min,Media,GBR,venture,15000000.0
90min,Media,GBR,venture,5800000.0
90min,Media,GBR,venture,18000000.0
90sec-technologies,Apps,ISR,angel,100000.0
91-boyuan-wireles,Mobile,CHN,venture,20000000.0
91-wireless,Mobile,CHN,angel,30000000.0
915-labs-llc,Food Processing,USA,venture,3000000.0
9158-julur-com,Social Media,CHN,angel,4502251.0
91app,Application Platforms,CHN,venture,9000000.0
91datong-com,Finance,CHN,angel,63590263.0
91jinrong,Curated Web,CHN,venture,10000000.0
91jinrong,Curated Web,CHN,venture,9790000.0
91mobiles,Mobile,IND,seed,1000000.0
955-dreams,Mobile,USA,seed,3250000.0
955-dreams,Mobile,USA,venture,7200000.0
99-co,Local Businesses,SGP,seed,1600000.0
99-co,Local Businesses,SGP,seed,560000.0
99-fahrenheit,Finance,ITA,seed,1380700.0
99bill,E-Commerce,CHN,venture,2000000.0
99bill,E-Commerce,CHN,venture,15050000.0
99bill,E-Commerce,CHN,venture,37524258.0
99bill,E-Commerce,CHN,venture,2000000.0
99bill,E-Commerce,CHN,venture,27000013.0
